Num_procs, Size, User, Real, System
4, 1024, 0.700000, 0.075000, 0.073000
8, 1024, 0.653000, 0.126000, 0.066000
16, 1024, 0.628000, 0.085000, 0.072000
32, 1024, 0.672000, 0.110000, 0.100000
64, 1024, 0.666000, 0.180000, 0.094000
128, 1024, 0.723000, 0.529000, 0.236000
256, 1024, 0.724000, 0.496000, 0.185000
4, 2048, 0.562000, 0.073000, 0.078000
8, 2048, 0.668000, 0.088000, 0.074000
16, 2048, 0.649000, 0.052000, 0.076000
32, 2048, 0.654000, 0.110000, 0.095000
64, 2048, 0.752000, 0.151000, 0.124000
128, 2048, 0.742000, 0.266000, 0.198000
256, 2048, 0.801000, 0.478000, 0.195000
4, 4096, 0.575000, 0.087000, 0.063000
8, 4096, 0.633000, 0.113000, 0.074000
16, 4096, 0.637000, 0.090000, 0.082000
32, 4096, 0.678000, 0.125000, 0.075000
64, 4096, 0.716000, 0.135000, 0.100000
128, 4096, 0.781000, 0.391000, 0.209000
256, 4096, 0.821000, 0.302000, 0.142000
4, 8192, 0.642000, 0.118000, 0.090000
8, 8192, 0.629000, 0.081000, 0.060000
16, 8192, 0.684000, 0.060000, 0.098000
32, 8192, 0.693000, 0.158000, 0.073000
64, 8192, 0.770000, 0.137000, 0.100000
128, 8192, 0.791000, 0.261000, 0.146000
256, 8192, 1.183000, 0.328000, 0.146000
4, 16384, 0.848000, 0.079000, 0.078000
8, 16384, 0.637000, 0.071000, 0.069000
16, 16384, 0.695000, 0.093000, 0.071000
32, 16384, 0.758000, 0.067000, 0.061000
64, 16384, 0.784000, 0.184000, 0.140000
128, 16384, 0.852000, 0.313000, 0.137000
256, 16384, 1.449000, 0.286000, 0.138000
4, 32768, 0.683000, 0.140000, 0.099000
8, 32768, 0.681000, 0.067000, 0.086000
16, 32768, 0.639000, 0.088000, 0.054000
32, 32768, 0.719000, 0.096000, 0.094000
64, 32768, 0.866000, 0.206000, 0.126000
128, 32768, 1.062000, 0.278000, 0.177000
256, 32768, 1.846000, 0.259000, 0.183000
4, 65536, 0.730000, 0.088000, 0.070000
8, 65536, 0.687000, 0.077000, 0.070000
16, 65536, 0.792000, 0.102000, 0.057000
32, 65536, 0.856000, 0.127000, 0.109000
64, 65536, 1.083000, 0.206000, 0.110000
128, 65536, 1.467000, 0.302000, 0.160000
256, 65536, 2.647000, 0.299000, 0.158000
4, 1310724, 0.709000, 0.136000, 0.122000
8, 1310728, 0.711000, 0.096000, 0.056000
16, 13107216, 0.862000, 0.085000, 0.063000
32, 13107232, 1.014000, 0.100000, 0.058000
64, 13107264, 1.229000, 0.200000, 0.141000
128, 131072128, 2.058000, 0.242000, 0.117000
256, 131072256, 4.299000, 0.367000, 0.190000
4, 2621444, 0.779000, 0.088000, 0.075000
8, 2621448, 0.816000, 0.086000, 0.077000
16, 26214416, 1.105000, 0.082000, 0.066000
32, 26214432, 1.605000, 0.119000, 0.098000
64, 26214464, 1.952000, 0.147000, 0.101000
128, 262144128, 3.368000, 0.265000, 0.118000
256, 262144256, 7.653000, 0.252000, 0.112000
4, 5242884, 0.917000, 0.131000, 0.079000
8, 5242888, 1.109000, 0.141000, 0.100000
16, 52428816, 1.552000, 0.125000, 0.085000
32, 52428832, 2.134000, 0.122000, 0.095000
64, 52428864, 2.989000, 0.214000, 0.149000
128, 524288128, 5.602000, 0.159000, 0.109000
256, 524288256, 13.844000, 0.172000, 0.123000
