Num_procs, Size, User, Real, System
0, 1024, 0.700000, 0.075000, 0.073000
0, 1024, 0.653000, 0.126000, 0.066000
0, 1024, 0.628000, 0.085000, 0.072000
0, 1024, 0.672000, 0.110000, 0.100000
0, 1024, 0.666000, 0.180000, 0.094000
0, 1024, 0.723000, 0.529000, 0.236000
0, 1024, 0.724000, 0.496000, 0.185000
0, 2048, 0.562000, 0.073000, 0.078000
0, 2048, 0.668000, 0.088000, 0.074000
0, 2048, 0.649000, 0.052000, 0.076000
0, 2048, 0.654000, 0.110000, 0.095000
0, 2048, 0.752000, 0.151000, 0.124000
0, 2048, 0.742000, 0.266000, 0.198000
0, 2048, 0.801000, 0.478000, 0.195000
0, 4096, 0.575000, 0.087000, 0.063000
0, 4096, 0.633000, 0.113000, 0.074000
0, 4096, 0.637000, 0.090000, 0.082000
0, 4096, 0.678000, 0.125000, 0.075000
0, 4096, 0.716000, 0.135000, 0.100000
0, 4096, 0.781000, 0.391000, 0.209000
0, 4096, 0.821000, 0.302000, 0.142000
0, 8192, 0.642000, 0.118000, 0.090000
0, 8192, 0.629000, 0.081000, 0.060000
0, 8192, 0.684000, 0.060000, 0.098000
0, 8192, 0.693000, 0.158000, 0.073000
0, 8192, 0.770000, 0.137000, 0.100000
0, 8192, 0.791000, 0.261000, 0.146000
0, 8192, 1.183000, 0.328000, 0.146000
0, 16384, 0.848000, 0.079000, 0.078000
0, 16384, 0.637000, 0.071000, 0.069000
0, 16384, 0.695000, 0.093000, 0.071000
0, 16384, 0.758000, 0.067000, 0.061000
0, 16384, 0.784000, 0.184000, 0.140000
0, 16384, 0.852000, 0.313000, 0.137000
0, 16384, 1.449000, 0.286000, 0.138000
0, 32768, 0.683000, 0.140000, 0.099000
0, 32768, 0.681000, 0.067000, 0.086000
0, 32768, 0.639000, 0.088000, 0.054000
0, 32768, 0.719000, 0.096000, 0.094000
0, 32768, 0.866000, 0.206000, 0.126000
0, 32768, 1.062000, 0.278000, 0.177000
0, 32768, 1.846000, 0.259000, 0.183000
0, 65536, 0.730000, 0.088000, 0.070000
0, 65536, 0.687000, 0.077000, 0.070000
0, 65536, 0.792000, 0.102000, 0.057000
0, 65536, 0.856000, 0.127000, 0.109000
0, 65536, 1.083000, 0.206000, 0.110000
0, 65536, 1.467000, 0.302000, 0.160000
0, 65536, 2.647000, 0.299000, 0.158000
0, 131072, 0.709000, 0.136000, 0.122000
0, 131072, 0.711000, 0.096000, 0.056000
0, 131072, 0.862000, 0.085000, 0.063000
0, 131072, 1.014000, 0.100000, 0.058000
0, 131072, 1.229000, 0.200000, 0.141000
0, 131072, 2.058000, 0.242000, 0.117000
0, 131072, 4.299000, 0.367000, 0.190000
0, 262144, 0.779000, 0.088000, 0.075000
0, 262144, 0.816000, 0.086000, 0.077000
0, 262144, 1.105000, 0.082000, 0.066000
0, 262144, 1.605000, 0.119000, 0.098000
0, 262144, 1.952000, 0.147000, 0.101000
0, 262144, 3.368000, 0.265000, 0.118000
0, 262144, 7.653000, 0.252000, 0.112000
0, 524288, 0.917000, 0.131000, 0.079000
0, 524288, 1.109000, 0.141000, 0.100000
0, 524288, 1.552000, 0.125000, 0.085000
0, 524288, 2.134000, 0.122000, 0.095000
0, 524288, 2.989000, 0.214000, 0.149000
0, 524288, 5.602000, 0.159000, 0.109000
0, 524288, 13.844000, 0.172000, 0.123000
