Num_procs, Size, User, Real, System
4, 1024, 0.804000, 0.070000, 0.077000
8, 1024, 0.685000, 0.128000, 0.079000
16, 1024, 0.716000, 0.330000, 0.214000
32, 1024, 0.757000, 0.121000, 0.117000
64, 1024, 0.748000, 0.315000, 0.131000
128, 1024, 0.797000, 0.284000, 0.141000
256, 1024, 0.943000, 0.261000, 0.132000
4, 2048, 0.666000, 0.101000, 0.073000
8, 2048, 0.722000, 0.053000, 0.077000
16, 2048, 0.691000, 0.054000, 0.080000
32, 2048, 0.701000, 0.090000, 0.082000
64, 2048, 0.778000, 0.154000, 0.081000
128, 2048, 0.847000, 0.293000, 0.173000
256, 2048, 1.087000, 0.307000, 0.154000
4, 4096, 0.656000, 0.078000, 0.096000
8, 4096, 0.689000, 0.081000, 0.084000
16, 4096, 0.758000, 0.071000, 0.069000
32, 4096, 0.774000, 0.101000, 0.097000
64, 4096, 0.799000, 0.161000, 0.120000
128, 4096, 0.952000, 0.237000, 0.137000
256, 4096, 1.395000, 0.496000, 0.293000
4, 8192, 0.747000, 0.047000, 0.067000
8, 8192, 0.615000, 0.047000, 0.061000
16, 8192, 0.702000, 0.076000, 0.103000
32, 8192, 0.811000, 0.107000, 0.081000
64, 8192, 0.884000, 0.203000, 0.107000
128, 8192, 1.278000, 0.533000, 0.282000
256, 8192, 2.058000, 0.454000, 0.179000
4, 16384, 0.726000, 0.049000, 0.072000
8, 16384, 0.700000, 0.063000, 0.078000
16, 16384, 0.759000, 0.152000, 0.086000
32, 16384, 0.914000, 0.127000, 0.089000
64, 16384, 1.182000, 0.180000, 0.138000
128, 16384, 2.007000, 0.293000, 0.180000
256, 16384, 4.233000, 0.394000, 0.209000
4, 32768, 0.794000, 0.065000, 0.078000
8, 32768, 0.799000, 0.083000, 0.045000
16, 32768, 0.841000, 0.087000, 0.064000
32, 32768, 1.015000, 0.079000, 0.103000
64, 32768, 1.377000, 0.310000, 0.167000
128, 32768, 3.246000, 0.316000, 0.162000
256, 32768, 6.981000, 0.257000, 0.126000
4, 65536, 0.796000, 0.060000, 0.048000
8, 65536, 0.802000, 0.096000, 0.062000
16, 65536, 1.020000, 0.087000, 0.092000
32, 65536, 1.347000, 0.122000, 0.077000
64, 65536, 2.005000, 0.166000, 0.103000
128, 65536, 5.304000, 0.475000, 0.187000
256, 65536, 13.828000, 0.197000, 0.123000
4, 1310724, 0.836000, 0.115000, 0.087000
8, 1310728, 0.916000, 0.052000, 0.075000
16, 13107216, 1.256000, 0.163000, 0.111000
32, 13107232, 1.856000, 0.158000, 0.082000
64, 13107264, 3.236000, 0.204000, 0.127000
128, 131072128, 9.277000, 0.253000, 0.169000
256, 131072256, 25.632000, 0.302000, 0.197000
4, 2621444, 0.934000, 0.193000, 0.095000
8, 2621448, 1.304000, 0.084000, 0.055000
16, 26214416, 1.771000, 0.074000, 0.088000
32, 26214432, 3.100000, 0.100000, 0.103000
64, 26214464, 6.023000, 0.261000, 0.148000
128, 262144128, 17.843000, 0.255000, 0.144000
256, 262144256, 52.515999, 0.324000, 0.143000
4, 5242884, 1.283000, 0.062000, 0.064000
8, 5242888, 1.812000, 0.067000, 0.070000
16, 52428816, 3.046000, 0.391000, 0.192000
32, 52428832, 5.968000, 0.178000, 0.122000
64, 52428864, 11.072000, 0.144000, 0.134000
128, 524288128, 34.377998, 0.266000, 0.153000
256, 524288256, 47.721001, 0.375000, 0.211000
