Num_procs, Size, User, Real, System
4, 1024, 0.684000, 0.079000, 0.056000
8, 1024, 0.772000, 0.064000, 0.071000
16, 1024, 0.895000, 0.085000, 0.078000
32, 1024, 1.049000, 0.138000, 0.071000
64, 1024, 2.343000, 0.194000, 0.122000
128, 1024, 7.501000, 0.049000, 0.082000
256, 1024, 10.910000, 0.330000, 0.158000
4, 2048, 0.719000, 0.199000, 0.118000
8, 2048, 0.931000, 0.091000, 0.052000
16, 2048, 1.348000, 0.090000, 0.073000
32, 2048, 1.487000, 0.098000, 0.060000
64, 2048, 1.858000, 0.202000, 0.115000
128, 2048, 10.978000, 0.243000, 0.128000
256, 2048, 16.639000, 0.215000, 0.150000
4, 4096, 0.720000, 0.052000, 0.064000
8, 4096, 1.114000, 0.046000, 0.093000
16, 4096, 1.557000, 0.078000, 0.073000
32, 4096, 2.240000, 0.182000, 0.102000
64, 4096, 2.976000, 0.217000, 0.124000
128, 4096, 13.354000, 0.257000, 0.134000
256, 4096, 21.541000, 0.312000, 0.186000
4, 8192, 0.803000, 0.052000, 0.067000
8, 8192, 1.717000, 0.094000, 0.054000
16, 8192, 2.342000, 0.081000, 0.067000
32, 8192, 3.611000, 0.205000, 0.140000
64, 8192, 4.608000, 0.146000, 0.105000
128, 8192, 16.035000, 0.227000, 0.117000
256, 8192, 27.846001, 0.250000, 0.176000
4, 16384, 0.754000, 0.061000, 0.056000
8, 16384, 2.763000, 0.050000, 0.084000
16, 16384, 3.996000, 0.115000, 0.081000
32, 16384, 6.478000, 0.057000, 0.091000
64, 16384, 8.184000, 0.417000, 0.203000
128, 16384, 18.070000, 0.206000, 0.095000
256, 16384, 36.034000, 0.289000, 0.117000
4, 32768, 0.941000, 0.136000, 0.073000
8, 32768, 5.078000, 0.077000, 0.076000
16, 32768, 7.200000, 0.102000, 0.076000
32, 32768, 12.344000, 0.070000, 0.084000
64, 32768, 15.766000, 0.130000, 0.101000
128, 32768, 20.687000, 0.149000, 0.097000
256, 32768, 46.780998, 0.127000, 0.108000
4, 65536, 0.851000, 0.059000, 0.054000
8, 65536, 17.077999, 0.097000, 0.094000
16, 65536, 13.588000, 0.068000, 0.078000
32, 65536, 23.254999, 0.128000, 0.096000
64, 65536, 30.556000, 0.105000, 0.091000
128, 65536, 33.874001, 0.203000, 0.145000
256, 65536, 4.691000, 0.233000, 0.156000
4, 1310724, 1.060000, 0.054000, 0.068000
8, 1310728, 17.386000, 0.072000, 0.064000
16, 13107216, 26.617001, 0.162000, 0.079000
32, 13107232, 46.550999, 0.111000, 0.070000
64, 13107264, 1.160000, 0.069000, 0.060000
128, 131072128, 6.985000, 0.046000, 0.091000
256, 131072256, 26.804001, 0.066000, 0.079000
4, 2621444, 1.215000, 0.027000, 0.069000
8, 2621448, 34.648998, 0.063000, 0.057000
16, 26214416, 57.143002, 0.089000, 0.063000
32, 26214432, 2.703000, 0.052000, 0.082000
64, 26214464, 58.946999, 0.091000, 0.071000
128, 262144128, 13.647000, 0.074000, 0.072000
256, 262144256, 33.002998, 0.098000, 0.092000
4, 5242884, 1.633000, 0.039000, 0.078000
8, 5242888, 7.853000, 0.086000, 0.068000
16, 52428816, 45.771000, 0.082000, 0.109000
32, 52428832, 8.449000, 0.138000, 0.091000
64, 52428864, 58.738998, 0.091000, 0.094000
128, 524288128, 22.408001, 0.082000, 0.070000
256, 524288256, 6.595000, 0.099000, 0.096000
